类别,precision,recall,f1-score,support
西瓜,0.8372093023255814,0.9473684210526315,0.8888888888888888,38.0
西红柿,0.8125,0.7027027027027027,0.7536231884057971,37.0
车厘子,0.8888888888888888,0.7272727272727273,0.7999999999999999,33.0
酸角,0.9428571428571428,0.868421052631579,0.904109589041096,38.0
金桔,0.7714285714285715,0.75,0.7605633802816902,36.0
青柠,0.8125,0.896551724137931,0.8524590163934426,29.0
青苹果,0.7959183673469388,1.0,0.8863636363636364,39.0
香橼,0.6923076923076923,0.72,0.7058823529411765,25.0
香蕉,0.9428571428571428,0.868421052631579,0.904109589041096,38.0
黄桃,0.9047619047619048,0.5,0.6440677966101696,38.0
黑莓,0.8,0.972972972972973,0.8780487804878049,37.0
macro avg,0.8417119610277872,0.8227949934747373,0.8213492109126673,2854.0
weighted avg,0.8427226164590988,0.8255080588647512,0.823643770140261,2854.0
